Lat, Long,
53.48274,-2.24197,
53.48119,-2.22636,
53.44720,-2.23912,
53.48112,-2.16915,
53.42688,-2.20901,
53.48358,-2.33809,
53.41886,-2.23219,
53.51334,-2.33707,
53.48759,-2.28798,
53.46123,-2.28369,
53.46290,-2.17433,
53.50067,-2.30874,
55.48625,-4.61703,
53.50985,-2.15901,
53.44568,-2.30942,
53.43399,-2.18195,
53.53016,-2.28231,
53.54794,-2.20473,
53.54322,-2.29184,
53.55070,-2.19907,
53.42520,-2.32378,
53.44909,-2.35472,
53.48999,-2.09930,
53.39723,-2.25873,
53.41137,-2.15038,
53.40122,-2.30022,
53.54762,-2.12806,
53.45202,-2.08632,
53.52592,-2.40115
