Lat, Long,
53.49722,-2.23503,
53.46124,-2.24741,
53.48296,-2.19303,
53.45780,-2.19946,
53.51223,-2.21080,
53.50045,-2.17958,
53.45666,-2.15967,
53.46886,-2.34482,
53.38789,-2.25382,
53.55732,-2.32870,
53.37889,-2.26244,
53.50316,-2.25486,
53.44956,-2.19194,
53.51760,-2.33100,
53.51154,-2.33713,
53.52144,-2.13266,
53.42039,-2.16200,
53.47785,-2.36697,
53.41604,-2.16545,
53.41776,-2.32277,
53.41256,-2.15650,
53.48500,-2.09511,
53.54637,-2.13976,
53.45186,-2.08213,
53.55801,-2.13768,
53.49968,-2.07718,
53.57779,-2.27372,
53.37775,-2.18915,
53.39999,-2.36246,
53.58987,-2.28950
