unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"8A78B2AF-863A-5CB0-E053-6B04A8C0F504","170000","2019-04-11","BL0 0AG","T","N","L","","56","PEEL BROW","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-863A-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-8C4F-5CB0-E053-6B04A8C0F504","190000","2019-05-03","BL0 0AQ","T","N","L","","8","DERBY STREET","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8C4F-5CB0-E053-6B04A8C0F504/current"
"8CAC1318-342A-0253-E053-6B04A8C08E51","250000","2019-06-07","BL0 0AT","T","N","L","","1","ELIZA STREET","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-342A-0253-E053-6B04A8C08E51/current"
"8355F008-F7FA-55C5-E053-6B04A8C0D090","154000","2019-01-31","BL0 0AU","T","N","L","","104","PEEL BROW","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8355F008-F7FA-55C5-E053-6B04A8C0D090/current"
"8355F008-F43D-55C5-E053-6B04A8C0D090","298500","2019-01-11","BL0 0BL","D","N","L","","4","CHESHIRE COURT","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8355F008-F43D-55C5-E053-6B04A8C0D090/current"
"98C75471-CC11-72E9-E053-6B04A8C042F0","228000","2019-10-24","BL0 0BL","D","N","L","","5","CHESHIRE COURT","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75471-CC11-72E9-E053-6B04A8C042F0/current"
"965B6D91-5557-95E4-E053-6C04A8C07729","260000","2019-10-15","BL0 0BL","D","N","L","","6","CHESHIRE COURT","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-5557-95E4-E053-6C04A8C07729/current"
"9B361206-3982-1904-E053-6B04A8C0EEB5","280000","2019-11-22","BL0 0BY","S","N","L","","62","BURY NEW ROAD","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/9B361206-3982-1904-E053-6B04A8C0EEB5/current"
"8A78B2AF-8709-5CB0-E053-6B04A8C0F504","258000","2019-03-22","BL0 0DE","T","N","L","","66","WHALLEY ROAD","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8709-5CB0-E053-6B04A8C0F504/current"
"85866A64-B68D-143F-E053-6B04A8C06A15","192500","2019-03-15","BL0 0DG","S","N","F","","123","WHALLEY ROAD","RAMSBOTTOM","BURY","BURY","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A64-B68D-143F-E053-6B04A8C06A15/current"
